Model,Gate,IDF1,MOTA,IDSW,FPS,Count,Detections,Tracks,Gate_Clean
DCNv2-FPN,Gate2.9_Oct7,0.9311,0.9442,0,111.0,311,382896,534,Gate2.9
DCNv2-FPN,Gate2_Oct7,0.6671,0.7787,0,121.91,460,139222,1219,Gate2
DCNv2-FPN,Gate3.1_Oct7,0.6917,0.9516,0,113.79,232,459391,1493,Gate3.1
DCNv2-FPN,Gate3.5_Oct7,0.6917,0.9516,0,114.47,489,459391,1493,Gate3.5
DCNv2-FPN,Gate3_Feb20,0.845,0.4404,0,125.81,1476,239706,1816,Gate3
DCNv2-Full,Gate2.9_Oct7,0.9113,0.7672,0,60.22,312,437262,605,Gate2.9
DCNv2-Full,Gate2_Oct7,0.6819,0.9798,0,56.55,470,159407,1369,Gate2
DCNv2-Full,Gate3.1_Oct7,0.7458,0.8854,0,64.67,237,490263,1776,Gate3.1
DCNv2-Full,Gate3.5_Oct7,0.7458,0.8854,0,63.61,490,490263,1776,Gate3.5
DCNv2-Full,Gate3_Feb20,0.8762,0.4136,0,67.77,1482,255252,1787,Gate3
DCNv2-Liu,Gate2.9_Oct7,0.9107,0.8616,0,118.57,311,384737,573,Gate2.9
DCNv2-Liu,Gate2_Oct7,0.6662,0.8559,0,129.79,469,142140,1322,Gate2
DCNv2-Liu,Gate3.1_Oct7,0.725,0.9623,0,122.39,231,454299,1582,Gate3.1
DCNv2-Liu,Gate3.5_Oct7,0.725,0.9623,0,121.35,489,454299,1582,Gate3.5
DCNv2-Liu,Gate3_Feb20,0.8409,0.4397,0,132.98,1478,240083,1861,Gate3
DCNv2-Pan,Gate2.9_Oct7,0.922,0.7836,0,111.59,310,387763,579,Gate2.9
DCNv2-Pan,Gate2_Oct7,0.697,0.8039,0,121.42,467,134868,1259,Gate2
DCNv2-Pan,Gate3.1_Oct7,0.7019,0.941,0,115.47,228,464557,1922,Gate3.1
DCNv2-Pan,Gate3.5_Oct7,0.7019,0.941,0,115.29,491,464557,1922,Gate3.5
DCNv2-Pan,Gate3_Feb20,0.8405,0.4388,0,125.17,1485,240597,1798,Gate3
DCNv3-FPN,Gate2.9_Oct7,0.9383,0.8157,0,55.66,311,426696,681,Gate2.9
DCNv3-FPN,Gate2_Oct7,0.6847,0.9937,0,58.98,480,163657,1424,Gate2
DCNv3-FPN,Gate3.1_Oct7,0.7595,0.9076,0,57.22,234,481671,1566,Gate3.1
DCNv3-FPN,Gate3.5_Oct7,0.7595,0.9076,0,56.99,492,481671,1566,Gate3.5
DCNv3-FPN,Gate3_Feb20,0.8791,0.4158,0,59.81,1484,253883,1844,Gate3
DCNv3-Full,Gate2.9_Oct7,0.9257,0.8532,0,51.02,311,440642,638,Gate2.9
DCNv3-Full,Gate2_Oct7,0.7043,0.992,0,53.49,472,161338,1462,Gate2
DCNv3-Full,Gate3.1_Oct7,0.7284,0.8854,0,52.27,243,490275,1942,Gate3.1
DCNv3-Full,Gate3.5_Oct7,0.7284,0.8854,0,51.97,491,490275,1942,Gate3.5
DCNv3-Full,Gate3_Feb20,0.8723,0.4136,0,54.96,1480,255243,1789,Gate3
DCNv3-Liu,Gate2.9_Oct7,0.9358,0.7345,0,60.22,311,425964,635,Gate2.9
DCNv3-Liu,Gate2_Oct7,0.6746,0.9993,0,63.54,477,162516,1465,Gate2
DCNv3-Liu,Gate3.1_Oct7,0.7558,0.7775,0,61.32,238,491697,2171,Gate3.1
DCNv3-Liu,Gate3.5_Oct7,0.7558,0.7775,0,61.17,490,491697,2171,Gate3.5
DCNv3-Liu,Gate3_Feb20,0.844,0.4122,0,69.04,1480,256088,1869,Gate3
DCNv3-Pan,Gate2.9_Oct7,0.934,0.6675,0,57.69,313,429821,575,Gate2.9
DCNv3-Pan,Gate2_Oct7,0.6771,0.9641,0,60.75,473,168691,1520,Gate2
DCNv3-Pan,Gate3.1_Oct7,0.7155,0.9838,0,58.54,237,499907,2274,Gate3.1
DCNv3-Pan,Gate3.5_Oct7,0.7155,0.9838,0,58.49,493,499907,2274,Gate3.5
DCNv3-Pan,Gate3_Feb20,0.8628,0.411,0,67.28,1481,256833,1840,Gate3
Vanilla-YOLOv8m,Gate2.9_Oct7,0.9014,0.6962,0,42.76,312,439261,595,Gate2.9
Vanilla-YOLOv8m,Gate2_Oct7,0.6825,0.9625,0,49.58,466,156747,1338,Gate2
Vanilla-YOLOv8m,Gate3.1_Oct7,0.7545,0.8689,0,71.05,238,483113,1709,Gate3.1
Vanilla-YOLOv8m,Gate3.5_Oct7,0.7545,0.8689,0,42.94,489,483113,1709,Gate3.5
Vanilla-YOLOv8m,Gate3_Feb20,0.8435,0.4151,0,73.2,0,254325,0,Gate3
